TimeStamp, Build, Success, Failed,
2018-12-12,22,85.71,14.29,
2018-12-12,23,96.64,3.36,
2018-12-12,24,85.71,14.29,
2018-12-13,25,93.28,6.72,
2018-12-13,26,98.32,1.68,
2018-12-13,27,98.32,1.68,
2018-12-13,28,98.32,1.68,
2018-12-13,29,98.32,1.68,
2018-12-13,30,96.64,3.36,
2018-12-13,31,96.64,3.36,
2018-12-14,32,98.32,1.68,
2018-12-17,33,81.51,18.49,
2018-12-18,34,79.83,20.17,
2018-12-18,38,79.83,20.17,
2018-12-19,39,88.24,11.76,
2018-12-19,41,84.03,15.97,
2018-12-19,42,100.0,0.0,
2018-12-20,43,98.32,1.68,
2018-12-20,44,85.12,14.88,
2018-12-20,45,77.98,22.02,
2018-12-20,46,76.79,23.21,
