TimeStamp, Build, 10MB, 100MB, 250MB, 1000MB, 2000MB
2018-12-12,22,Failed,Failed,Failed,Failed,Failed
2018-12-12,23,Success,Success,Success,Success,Failed
2018-12-12,24,Failed,Failed,Failed,Failed,Failed
2018-12-13,25,Success,Failed,Failed,Failed,Success
2018-12-13,26,Success,Success,Success,Success,Success
2018-12-13,27,Success,Success,Success,Success,Success
2018-12-13,28,Success,Success,Success,Success,Success
2018-12-13,29,Success,Success,Success,Success,Success
2018-12-13,30,Success,Success,Success,Success,Failed
2018-12-13,31,Success,Success,Success,Failed,Success
2018-12-14,32,Success,Success,Success,Success,Success
2018-12-17,33,Failed,Failed,Failed,Failed,Failed
2018-12-18,34,Failed,Failed,Failed,Failed,Failed
2018-12-18,38,Failed,Failed,Failed,Failed,Failed
2018-12-19,39,Success,Success,Success,Success,Success
2018-12-19,41,Success,Success,Success,Failed,Failed
2018-12-19,42,Success,Success,Success,Success,Success
2018-12-20,43,Success,Success,Success,Success,Success
2018-12-20,44,Success,Success,Success,Success,Success
2018-12-20,45,Success,Success,Success,Success,Success
2018-12-20,46,Success,Success,Success,Success,Success
